init,resp,seqn,time,success,dist,dist_bias,err,err_bias,dist_ground_truth,fp_pwr,rx_pwr,freq_offset
11.00,8.00,1.00,4.74,1.00,21.24,21.17,0.15,0.08,21.09,-99.00,-94.69,2.00
11.00,9.00,1.00,4.74,1.00,13.76,13.71,0.67,0.62,13.09,-96.05,-90.41,1.85
11.00,10.00,1.00,4.74,1.00,7.71,7.68,0.31,0.28,7.40,-88.21,-80.61,1.48
11.00,12.00,1.00,4.74,1.00,7.41,7.38,0.10,0.07,7.31,-86.84,-81.79,2.87
11.00,13.00,1.00,4.75,1.00,14.79,14.73,0.07,0.01,14.72,-96.32,-87.37,1.47
11.00,14.00,1.00,4.75,1.00,22.01,21.93,0.10,0.02,21.91,-93.68,-91.58,-0.78
11.00,8.00,2.00,5.74,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,2.00,5.74,1.00,13.80,13.75,0.71,0.66,13.09,-96.73,-90.90,1.76
11.00,10.00,2.00,5.74,1.00,7.73,7.70,0.33,0.30,7.40,-87.90,-80.54,1.29
11.00,12.00,2.00,5.75,1.00,7.36,7.33,0.05,0.02,7.31,-86.17,-81.76,2.63
11.00,13.00,2.00,5.75,1.00,14.79,14.73,0.07,0.01,14.72,-97.17,-87.53,1.52
11.00,14.00,2.00,5.75,1.00,22.00,21.92,0.09,0.01,21.91,-93.78,-91.58,-0.80
11.00,8.00,3.00,6.74,1.00,21.23,21.16,0.14,0.07,21.09,-98.53,-94.69,1.90
11.00,9.00,3.00,6.74,1.00,13.80,13.75,0.71,0.66,13.09,-95.04,-89.88,1.61
11.00,10.00,3.00,6.74,1.00,7.73,7.70,0.33,0.30,7.40,-88.47,-80.60,1.29
11.00,12.00,3.00,6.75,1.00,7.41,7.38,0.10,0.07,7.31,-85.41,-81.47,2.76
11.00,13.00,3.00,6.75,1.00,14.82,14.76,0.10,0.04,14.72,-96.61,-87.57,1.47
11.00,14.00,3.00,6.75,1.00,22.01,21.93,0.10,0.02,21.91,-93.67,-91.72,-0.76
11.00,8.00,4.00,7.74,1.00,21.16,21.09,0.07,0.00,21.09,-98.55,-94.50,2.10
11.00,9.00,4.00,7.74,1.00,13.79,13.74,0.70,0.65,13.09,-95.50,-89.97,1.69
11.00,10.00,4.00,7.74,1.00,7.69,7.66,0.29,0.26,7.40,-88.69,-80.54,1.03
11.00,12.00,4.00,7.75,1.00,7.40,7.37,0.09,0.06,7.31,-86.12,-81.78,2.75
11.00,13.00,4.00,7.75,1.00,14.78,14.72,0.06,0.00,14.72,-97.72,-87.78,1.56
11.00,14.00,4.00,7.75,1.00,21.99,21.91,0.08,0.00,21.91,-93.77,-91.82,-0.82
11.00,8.00,5.00,8.73,1.00,21.22,21.15,0.13,0.06,21.09,-98.94,-94.41,2.08
11.00,9.00,5.00,8.74,1.00,13.81,13.76,0.72,0.67,13.09,-95.96,-90.21,1.66
11.00,10.00,5.00,8.74,1.00,7.69,7.66,0.29,0.26,7.40,-88.34,-80.63,1.18
11.00,12.00,5.00,8.75,1.00,7.40,7.37,0.09,0.06,7.31,-86.54,-81.77,2.59
11.00,13.00,5.00,8.75,1.00,14.76,14.70,0.04,0.02,14.72,-97.01,-87.33,1.62
11.00,14.00,5.00,8.75,1.00,22.01,21.93,0.10,0.02,21.91,-93.20,-92.92,-0.82
11.00,8.00,6.00,9.73,1.00,21.20,21.13,0.11,0.04,21.09,-99.44,-95.40,1.93
11.00,9.00,6.00,9.74,1.00,13.76,13.71,0.67,0.62,13.09,-96.45,-90.34,1.40
11.00,10.00,6.00,9.74,1.00,7.71,7.68,0.31,0.28,7.40,-88.36,-80.56,1.07
11.00,12.00,6.00,9.74,1.00,7.41,7.38,0.10,0.07,7.31,-86.21,-81.60,2.69
11.00,13.00,6.00,9.75,1.00,14.85,14.79,0.13,0.07,14.72,-97.92,-87.52,1.62
11.00,14.00,6.00,9.75,1.00,22.05,21.97,0.14,0.06,21.91,-93.75,-91.67,-0.83
11.00,8.00,7.00,10.73,1.00,21.22,21.15,0.13,0.06,21.09,-99.07,-94.69,2.18
11.00,9.00,7.00,10.74,1.00,13.79,13.74,0.70,0.65,13.09,-95.81,-90.28,1.49
11.00,10.00,7.00,10.74,1.00,7.72,7.69,0.32,0.29,7.40,-88.08,-80.43,0.92
11.00,12.00,7.00,10.74,1.00,7.40,7.37,0.09,0.06,7.31,-85.79,-81.65,2.49
11.00,13.00,7.00,10.75,1.00,14.81,14.75,0.09,0.03,14.72,-96.40,-87.39,1.46
11.00,14.00,7.00,10.75,1.00,22.00,21.92,0.09,0.01,21.91,-93.78,-91.82,-0.79
11.00,8.00,8.00,11.73,1.00,21.18,21.11,0.09,0.02,21.09,-99.16,-95.09,2.08
11.00,9.00,8.00,11.74,1.00,13.80,13.75,0.71,0.66,13.09,-96.15,-90.38,1.34
11.00,10.00,8.00,11.74,1.00,7.69,7.66,0.29,0.26,7.40,-88.17,-80.67,1.03
11.00,12.00,8.00,11.75,1.00,7.47,7.44,0.16,0.13,7.31,-85.68,-81.51,2.58
11.00,13.00,8.00,11.75,1.00,14.78,14.72,0.06,0.00,14.72,-97.14,-87.46,1.55
11.00,14.00,8.00,11.75,1.00,22.02,21.94,0.11,0.03,21.91,-93.89,-91.49,-0.72
11.00,8.00,9.00,12.73,1.00,21.20,21.13,0.11,0.04,21.09,-98.44,-94.07,2.04
11.00,9.00,9.00,12.74,1.00,13.79,13.74,0.70,0.65,13.09,-96.03,-90.31,1.34
11.00,10.00,9.00,12.74,1.00,7.72,7.69,0.32,0.29,7.40,-88.37,-80.34,0.95
11.00,12.00,9.00,12.74,1.00,7.42,7.39,0.11,0.08,7.31,-85.64,-81.42,2.56
11.00,13.00,9.00,12.75,1.00,14.85,14.79,0.13,0.07,14.72,-96.58,-87.03,1.51
11.00,14.00,9.00,12.75,1.00,22.04,21.96,0.13,0.05,21.91,-93.98,-91.72,-0.76
11.00,8.00,10.00,13.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,10.00,13.74,1.00,13.77,13.72,0.68,0.63,13.09,-95.41,-90.07,1.14
11.00,10.00,10.00,13.74,1.00,7.71,7.68,0.31,0.28,7.40,-87.86,-80.58,0.79
11.00,12.00,10.00,13.75,1.00,7.42,7.39,0.11,0.08,7.31,-85.54,-81.38,2.39
11.00,13.00,10.00,13.75,1.00,14.79,14.73,0.07,0.01,14.72,-97.26,-87.80,1.55
11.00,14.00,10.00,13.75,1.00,22.02,21.94,0.11,0.03,21.91,-93.12,-91.44,-0.86
11.00,8.00,11.00,14.73,1.00,21.19,21.12,0.10,0.03,21.09,-98.64,-94.59,2.06
11.00,9.00,11.00,14.74,1.00,13.84,13.79,0.75,0.70,13.09,-95.53,-89.91,1.29
11.00,10.00,11.00,14.74,1.00,7.68,7.65,0.28,0.25,7.40,-87.99,-80.54,0.79
11.00,12.00,11.00,14.75,1.00,7.41,7.38,0.10,0.07,7.31,-85.18,-81.47,2.22
11.00,13.00,11.00,14.75,1.00,14.81,14.75,0.09,0.03,14.72,-96.44,-87.10,1.56
11.00,14.00,11.00,14.76,1.00,22.07,21.99,0.16,0.08,21.91,-93.81,-91.63,-0.94
11.00,8.00,12.00,15.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,12.00,15.74,1.00,13.77,13.72,0.68,0.63,13.09,-96.30,-90.59,1.19
11.00,10.00,12.00,15.74,1.00,7.70,7.67,0.30,0.27,7.40,-88.03,-80.56,0.85
11.00,12.00,12.00,15.75,1.00,7.39,7.36,0.08,0.05,7.31,-86.57,-81.92,2.40
11.00,13.00,12.00,15.75,1.00,14.77,14.71,0.05,0.01,14.72,-96.82,-87.64,1.44
11.00,14.00,12.00,15.75,1.00,22.04,21.96,0.13,0.05,21.91,-93.45,-91.06,-0.68
11.00,8.00,13.00,16.73,1.00,21.21,21.14,0.12,0.05,21.09,-98.82,-94.78,2.17
11.00,9.00,13.00,16.74,1.00,13.82,13.77,0.73,0.68,13.09,-96.33,-90.45,1.27
11.00,10.00,13.00,16.74,1.00,7.70,7.67,0.30,0.27,7.40,-89.04,-80.54,0.91
11.00,12.00,13.00,16.75,1.00,7.38,7.35,0.07,0.04,7.31,-86.08,-81.80,2.29
11.00,13.00,13.00,16.75,1.00,14.79,14.73,0.07,0.01,14.72,-97.12,-87.19,1.56
11.00,14.00,13.00,16.75,1.00,22.06,21.98,0.15,0.07,21.91,-93.63,-91.77,-0.80
11.00,8.00,14.00,17.73,1.00,21.19,21.12,0.10,0.03,21.09,-98.95,-94.50,2.13
11.00,9.00,14.00,17.74,1.00,13.75,13.70,0.66,0.61,13.09,-95.33,-89.91,1.01
11.00,10.00,14.00,17.74,1.00,7.67,7.64,0.27,0.24,7.40,-88.44,-80.65,0.66
11.00,12.00,14.00,17.75,1.00,7.43,7.40,0.12,0.09,7.31,-85.45,-81.55,2.32
11.00,13.00,14.00,17.75,1.00,14.82,14.76,0.10,0.04,14.72,-96.89,-87.27,1.52
11.00,14.00,14.00,17.75,1.00,22.05,21.97,0.14,0.06,21.91,-93.36,-91.44,-0.68
11.00,8.00,15.00,18.73,1.00,21.23,21.16,0.14,0.07,21.09,-98.85,-94.88,2.19
11.00,9.00,15.00,18.74,1.00,13.81,13.76,0.72,0.67,13.09,-96.20,-90.59,1.03
11.00,10.00,15.00,18.74,1.00,7.71,7.68,0.31,0.28,7.40,-88.09,-80.65,0.73
11.00,12.00,15.00,18.75,1.00,7.37,7.34,0.06,0.03,7.31,-86.52,-81.91,2.15
11.00,13.00,15.00,18.75,1.00,14.82,14.76,0.10,0.04,14.72,-96.21,-87.46,1.62
11.00,14.00,15.00,18.75,1.00,22.00,21.92,0.09,0.01,21.91,-93.20,-91.10,-0.75
11.00,8.00,16.00,19.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,16.00,19.74,1.00,13.81,13.76,0.72,0.67,13.09,-95.70,-90.28,1.10
11.00,10.00,16.00,19.74,1.00,7.73,7.70,0.33,0.30,7.40,-87.92,-80.52,0.82
11.00,12.00,16.00,19.75,1.00,7.45,7.42,0.14,0.11,7.31,-85.41,-81.33,2.00
11.00,13.00,16.00,19.75,1.00,14.76,14.70,0.04,0.02,14.72,-96.53,-87.57,1.53
11.00,14.00,16.00,19.75,1.00,21.99,21.91,0.08,0.00,21.91,-94.21,-91.92,-0.93
11.00,8.00,17.00,20.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,17.00,20.74,1.00,13.78,13.73,0.69,0.64,13.09,-95.42,-90.11,1.01
11.00,10.00,17.00,20.74,1.00,7.70,7.67,0.30,0.27,7.40,-88.40,-80.61,0.74
11.00,12.00,17.00,20.75,1.00,7.43,7.40,0.12,0.09,7.31,-85.88,-81.59,2.19
11.00,13.00,17.00,20.75,1.00,14.80,14.74,0.08,0.02,14.72,-96.48,-87.26,1.53
11.00,14.00,17.00,20.75,1.00,22.03,21.95,0.12,0.04,21.91,-93.36,-91.29,-0.99
11.00,8.00,18.00,21.73,1.00,21.25,21.18,0.16,0.09,21.09,-99.15,-94.59,2.17
11.00,9.00,18.00,21.74,1.00,13.82,13.77,0.73,0.68,13.09,-95.24,-89.95,1.04
11.00,10.00,18.00,21.74,1.00,7.71,7.68,0.31,0.28,7.40,-88.27,-80.52,0.50
11.00,12.00,18.00,21.75,1.00,7.39,7.36,0.08,0.05,7.31,-86.40,-81.80,2.09
11.00,13.00,18.00,21.75,1.00,14.81,14.75,0.09,0.03,14.72,-97.44,-87.38,1.65
11.00,14.00,18.00,21.75,1.00,22.00,21.92,0.09,0.01,21.91,-93.88,-91.63,-0.68
11.00,8.00,19.00,22.73,1.00,21.21,21.14,0.12,0.05,21.09,-99.26,-94.88,2.26
11.00,9.00,19.00,22.74,1.00,13.79,13.74,0.70,0.65,13.09,-95.56,-90.14,0.94
11.00,10.00,19.00,22.74,1.00,7.73,7.70,0.33,0.30,7.40,-88.09,-80.44,0.60
11.00,12.00,19.00,22.75,1.00,7.42,7.39,0.11,0.08,7.31,-85.32,-81.69,1.96
11.00,13.00,19.00,22.75,1.00,14.81,14.75,0.09,0.03,14.72,-97.72,-87.41,1.54
11.00,14.00,19.00,22.75,1.00,21.96,21.88,0.05,0.03,21.91,-94.00,-91.97,-0.73
11.00,8.00,20.00,23.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,20.00,23.74,1.00,13.77,13.72,0.68,0.63,13.09,-95.44,-90.24,0.64
11.00,10.00,20.00,23.74,1.00,7.72,7.69,0.32,0.29,7.40,-87.88,-80.46,0.51
11.00,12.00,20.00,23.75,1.00,7.39,7.36,0.08,0.05,7.31,-86.02,-81.69,1.98
11.00,13.00,20.00,23.75,1.00,14.80,14.74,0.08,0.02,14.72,-96.03,-86.82,1.30
11.00,14.00,20.00,23.75,1.00,22.04,21.96,0.13,0.05,21.91,-93.72,-91.58,-0.91
11.00,8.00,21.00,24.73,1.00,21.23,21.16,0.14,0.07,21.09,-99.14,-94.98,1.93
11.00,9.00,21.00,24.74,1.00,13.81,13.76,0.72,0.67,13.09,-95.42,-89.95,0.65
11.00,10.00,21.00,24.74,1.00,7.71,7.68,0.31,0.28,7.40,-88.87,-80.45,0.33
11.00,12.00,21.00,24.75,1.00,7.42,7.39,0.11,0.08,7.31,-85.54,-81.53,2.04
11.00,13.00,21.00,24.75,1.00,14.79,14.73,0.07,0.01,14.72,-97.08,-87.46,1.44
11.00,14.00,21.00,24.75,1.00,22.03,21.95,0.12,0.04,21.91,-93.80,-92.02,-0.93
11.00,8.00,22.00,25.73,1.00,21.24,21.17,0.15,0.08,21.09,-99.01,-94.98,2.31
11.00,9.00,22.00,25.74,1.00,13.83,13.78,0.74,0.69,13.09,-96.19,-90.41,0.73
11.00,10.00,22.00,25.74,1.00,7.70,7.67,0.30,0.27,7.40,-88.14,-80.45,0.57
11.00,12.00,22.00,25.75,1.00,7.41,7.38,0.10,0.07,7.31,-85.67,-81.44,2.07
11.00,13.00,22.00,25.75,1.00,14.83,14.77,0.11,0.05,14.72,-96.60,-87.13,1.41
11.00,14.00,22.00,25.75,1.00,22.06,21.98,0.15,0.07,21.91,-93.83,-91.63,-0.73
11.00,8.00,23.00,26.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,23.00,26.74,1.00,13.81,13.76,0.72,0.67,13.09,-96.84,-90.45,0.93
11.00,10.00,23.00,26.74,1.00,7.70,7.67,0.30,0.27,7.40,-89.01,-80.56,0.58
11.00,12.00,23.00,26.75,1.00,7.40,7.37,0.09,0.06,7.31,-86.42,-81.87,2.18
11.00,13.00,23.00,26.75,1.00,14.80,14.74,0.08,0.02,14.72,-96.79,-87.27,1.47
11.00,14.00,23.00,26.75,1.00,22.03,21.95,0.12,0.04,21.91,-93.45,-91.44,-0.83
11.00,8.00,24.00,27.73,1.00,21.22,21.15,0.13,0.06,21.09,-98.93,-94.41,2.03
11.00,9.00,24.00,27.74,1.00,13.76,13.71,0.67,0.62,13.09,-95.95,-90.11,0.78
11.00,10.00,24.00,27.74,1.00,7.68,7.65,0.28,0.25,7.40,-88.90,-80.56,0.49
11.00,12.00,24.00,27.75,1.00,7.41,7.38,0.10,0.07,7.31,-85.83,-81.71,1.92
11.00,13.00,24.00,27.75,1.00,14.82,14.76,0.10,0.04,14.72,-95.84,-87.13,1.54
11.00,14.00,24.00,27.75,1.00,21.96,21.88,0.05,0.03,21.91,-93.13,-91.36,-0.98
11.00,8.00,25.00,28.73,1.00,21.23,21.16,0.14,0.07,21.09,-99.62,-94.69,2.31
11.00,9.00,25.00,28.74,1.00,13.78,13.73,0.69,0.64,13.09,-95.36,-89.95,0.61
11.00,10.00,25.00,28.74,1.00,7.69,7.66,0.29,0.26,7.40,-88.93,-80.48,0.28
11.00,12.00,25.00,28.75,1.00,7.40,7.37,0.09,0.06,7.31,-85.54,-81.44,1.88
11.00,13.00,25.00,28.75,1.00,14.78,14.72,0.06,0.00,14.72,-97.00,-87.51,1.42
11.00,14.00,25.00,28.75,1.00,22.02,21.94,0.11,0.03,21.91,-93.53,-91.58,-0.70
11.00,8.00,26.00,29.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,26.00,29.74,1.00,13.80,13.75,0.71,0.66,13.09,-96.22,-90.34,0.72
11.00,10.00,26.00,29.74,1.00,7.70,7.67,0.30,0.27,7.40,-87.97,-80.41,0.51
11.00,12.00,26.00,29.75,1.00,7.42,7.39,0.11,0.08,7.31,-85.80,-81.54,1.98
11.00,13.00,26.00,29.75,1.00,14.79,14.73,0.07,0.01,14.72,-97.31,-87.16,1.50
11.00,14.00,26.00,29.75,1.00,22.09,22.01,0.18,0.10,21.91,-93.55,-91.32,-0.57
11.00,8.00,27.00,30.73,1.00,21.23,21.16,0.14,0.07,21.09,-98.47,-94.32,2.10
11.00,9.00,27.00,30.74,1.00,13.78,13.73,0.69,0.64,13.09,-95.58,-90.04,0.40
11.00,10.00,27.00,30.74,1.00,7.72,7.69,0.32,0.29,7.40,-88.25,-80.59,0.37
11.00,12.00,27.00,30.75,1.00,7.42,7.39,0.11,0.08,7.31,-85.55,-81.57,1.88
11.00,13.00,27.00,30.75,1.00,14.76,14.70,0.04,0.02,14.72,-96.82,-87.68,1.53
11.00,14.00,27.00,30.75,1.00,22.08,22.00,0.17,0.09,21.91,-93.57,-91.55,-0.83
11.00,8.00,28.00,31.73,1.00,21.27,21.20,0.18,0.11,21.09,-98.82,-94.50,2.23
11.00,9.00,28.00,31.74,1.00,13.81,13.76,0.72,0.67,13.09,-95.29,-89.60,0.66
11.00,10.00,28.00,31.74,1.00,7.70,7.67,0.30,0.27,7.40,-88.13,-80.46,0.43
11.00,12.00,28.00,31.75,1.00,7.44,7.41,0.13,0.10,7.31,-85.83,-81.70,1.95
11.00,13.00,28.00,31.75,1.00,14.78,14.72,0.06,0.00,14.72,-96.73,-87.63,1.50
11.00,14.00,28.00,31.75,1.00,22.06,21.98,0.15,0.07,21.91,-93.64,-91.44,-0.51
11.00,8.00,29.00,32.73,1.00,21.20,21.13,0.11,0.04,21.09,-99.86,-95.40,2.28
11.00,9.00,29.00,32.74,1.00,13.78,13.73,0.69,0.64,13.09,-96.12,-90.31,0.62
11.00,10.00,29.00,32.74,1.00,7.69,7.66,0.29,0.26,7.40,-88.31,-80.47,0.34
11.00,12.00,29.00,32.75,1.00,7.40,7.37,0.09,0.06,7.31,-85.56,-81.66,1.91
11.00,13.00,29.00,32.75,1.00,14.76,14.70,0.04,0.02,14.72,-96.57,-87.28,1.45
11.00,14.00,29.00,32.75,1.00,21.98,21.90,0.07,0.01,21.91,-93.46,-91.63,-0.73
11.00,8.00,30.00,33.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,30.00,33.74,1.00,13.81,13.76,0.72,0.67,13.09,-95.83,-90.21,0.66
11.00,10.00,30.00,33.74,1.00,7.71,7.68,0.31,0.28,7.40,-88.24,-80.57,0.34
11.00,12.00,30.00,33.75,1.00,7.40,7.37,0.09,0.06,7.31,-85.28,-81.41,1.84
11.00,13.00,30.00,33.75,1.00,14.83,14.77,0.11,0.05,14.72,-96.26,-87.33,1.60
11.00,14.00,30.00,33.75,1.00,21.98,21.90,0.07,0.01,21.91,-93.42,-91.54,-0.94
11.00,8.00,31.00,34.73,1.00,21.23,21.16,0.14,0.07,21.09,-99.01,-94.69,2.15
11.00,9.00,31.00,34.74,1.00,13.82,13.77,0.73,0.68,13.09,-96.19,-90.90,0.47
11.00,10.00,31.00,34.74,1.00,7.73,7.70,0.33,0.30,7.40,-88.77,-82.06,0.43
11.00,12.00,31.00,34.75,1.00,7.39,7.36,0.08,0.05,7.31,-85.64,-81.60,1.78
11.00,13.00,31.00,34.75,1.00,14.80,14.74,0.08,0.02,14.72,-96.78,-87.61,1.46
11.00,14.00,31.00,34.76,1.00,22.02,21.94,0.11,0.03,21.91,-93.30,-91.58,-0.83
11.00,8.00,32.00,35.73,1.00,21.21,21.14,0.12,0.05,21.09,-99.26,-95.19,2.21
11.00,9.00,32.00,35.74,1.00,13.83,13.78,0.74,0.69,13.09,-96.07,-90.31,0.64
11.00,10.00,32.00,35.74,1.00,7.75,7.71,0.35,0.31,7.40,-88.08,-80.61,0.41
11.00,12.00,32.00,35.75,1.00,7.42,7.39,0.11,0.08,7.31,-86.41,-81.84,1.87
11.00,13.00,32.00,35.75,1.00,14.79,14.73,0.07,0.01,14.72,-96.39,-87.52,1.44
11.00,14.00,32.00,35.76,1.00,22.02,21.94,0.11,0.03,21.91,-93.65,-91.59,-0.86
11.00,8.00,33.00,36.73,1.00,21.20,21.13,0.11,0.04,21.09,-99.17,-94.85,2.14
11.00,9.00,33.00,36.74,1.00,13.79,13.74,0.70,0.65,13.09,-95.74,-90.24,0.47
11.00,10.00,33.00,36.74,1.00,7.74,7.71,0.34,0.31,7.40,-88.20,-80.62,0.28
11.00,12.00,33.00,36.75,1.00,7.40,7.37,0.09,0.06,7.31,-85.40,-81.47,1.83
11.00,13.00,33.00,36.75,1.00,14.77,14.71,0.05,0.01,14.72,-96.58,-87.49,1.54
11.00,14.00,33.00,36.76,1.00,22.00,21.92,0.09,0.01,21.91,-93.51,-91.44,-0.73
11.00,8.00,34.00,37.73,1.00,21.20,21.13,0.11,0.04,21.09,-100.41,-95.19,2.09
11.00,9.00,34.00,37.74,1.00,13.80,13.75,0.71,0.66,13.09,-96.01,-90.28,0.52
11.00,10.00,34.00,37.74,1.00,7.68,7.65,0.28,0.25,7.40,-88.28,-80.61,0.21
11.00,12.00,34.00,37.75,1.00,7.43,7.40,0.12,0.09,7.31,-85.45,-81.41,1.87
11.00,13.00,34.00,37.75,1.00,14.81,14.75,0.09,0.03,14.72,-98.03,-87.43,1.46
11.00,14.00,34.00,37.76,1.00,22.06,21.98,0.15,0.07,21.91,-93.35,-91.54,-0.68
11.00,8.00,35.00,38.73,1.00,21.26,21.19,0.17,0.10,21.09,-99.17,-94.98,2.16
11.00,9.00,35.00,38.74,1.00,13.78,13.73,0.69,0.64,13.09,-96.04,-90.45,0.49
11.00,10.00,35.00,38.74,1.00,7.73,7.70,0.33,0.30,7.40,-88.34,-80.49,0.29
11.00,12.00,35.00,38.75,1.00,7.43,7.40,0.12,0.09,7.31,-85.36,-81.40,1.88
11.00,13.00,35.00,38.75,1.00,14.77,14.71,0.05,0.01,14.72,-97.04,-87.52,1.40
11.00,14.00,35.00,38.76,1.00,22.03,21.95,0.12,0.04,21.91,-93.83,-91.87,-0.74
11.00,8.00,36.00,39.73,1.00,21.21,21.14,0.12,0.05,21.09,-99.63,-95.19,2.32
11.00,9.00,36.00,39.74,1.00,13.84,13.79,0.75,0.70,13.09,-95.86,-90.45,0.51
11.00,10.00,36.00,39.74,1.00,7.75,7.71,0.35,0.31,7.40,-87.97,-80.64,0.45
11.00,12.00,36.00,39.75,1.00,7.42,7.39,0.11,0.08,7.31,-85.61,-81.39,1.76
11.00,13.00,36.00,39.75,1.00,14.81,14.75,0.09,0.03,14.72,-96.72,-87.18,1.68
11.00,14.00,36.00,39.76,1.00,22.00,21.92,0.09,0.01,21.91,-93.36,-91.49,-0.83
11.00,8.00,37.00,40.73,1.00,21.18,21.11,0.09,0.02,21.09,-98.61,-96.14,2.01
11.00,9.00,37.00,40.74,1.00,13.80,13.75,0.71,0.66,13.09,-95.67,-90.14,0.39
11.00,10.00,37.00,40.74,1.00,7.70,7.67,0.30,0.27,7.40,-88.52,-80.71,0.35
11.00,12.00,37.00,40.75,1.00,7.43,7.40,0.12,0.09,7.31,-85.47,-81.54,1.75
11.00,13.00,37.00,40.75,1.00,14.80,14.74,0.08,0.02,14.72,-97.05,-87.32,1.58
11.00,14.00,37.00,40.76,1.00,22.04,21.96,0.13,0.05,21.91,-93.03,-91.06,-0.58
11.00,8.00,38.00,41.73,1.00,21.20,21.13,0.11,0.04,21.09,-99.48,-95.29,2.11
11.00,9.00,38.00,41.74,1.00,13.80,13.75,0.71,0.66,13.09,-95.55,-90.11,0.39
11.00,10.00,38.00,41.74,1.00,7.69,7.66,0.29,0.26,7.40,-88.52,-80.64,0.15
11.00,12.00,38.00,41.75,1.00,7.39,7.36,0.08,0.05,7.31,-85.96,-81.78,1.72
11.00,13.00,38.00,41.75,1.00,14.79,14.73,0.07,0.01,14.72,-97.44,-87.25,1.57
11.00,14.00,38.00,41.76,1.00,22.05,21.97,0.14,0.06,21.91,-93.54,-91.97,-0.81
11.00,8.00,39.00,42.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,39.00,42.74,1.00,13.79,13.74,0.70,0.65,13.09,-96.71,-90.38,0.44
11.00,10.00,39.00,42.74,1.00,7.73,7.70,0.33,0.30,7.40,-89.13,-80.56,0.15
11.00,12.00,39.00,42.74,1.00,7.40,7.37,0.09,0.06,7.31,-86.24,-81.88,1.61
11.00,13.00,39.00,42.75,1.00,14.75,14.69,0.03,0.03,14.72,-97.32,-87.65,1.36
11.00,14.00,39.00,42.75,1.00,21.99,21.91,0.08,0.00,21.91,-93.88,-91.67,-0.68
11.00,8.00,40.00,43.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,40.00,43.74,1.00,13.79,13.74,0.70,0.65,13.09,-95.86,-90.56,0.39
11.00,10.00,40.00,43.74,1.00,7.74,7.71,0.34,0.31,7.40,-88.01,-80.49,0.20
11.00,12.00,40.00,43.75,1.00,7.41,7.38,0.10,0.07,7.31,-85.38,-81.49,1.70
11.00,13.00,40.00,43.75,1.00,14.79,14.73,0.07,0.01,14.72,-96.73,-87.60,1.59
11.00,14.00,40.00,43.75,1.00,22.02,21.94,0.11,0.03,21.91,-93.30,-91.49,-0.91
11.00,8.00,41.00,44.73,1.00,21.21,21.14,0.12,0.05,21.09,-99.06,-94.50,2.10
11.00,9.00,41.00,44.74,1.00,13.84,13.79,0.75,0.70,13.09,-96.29,-90.14,0.46
11.00,10.00,41.00,44.74,1.00,7.72,7.69,0.32,0.29,7.40,-89.25,-80.56,0.32
11.00,12.00,41.00,44.75,1.00,7.42,7.39,0.11,0.08,7.31,-85.54,-81.60,1.63
11.00,13.00,41.00,44.75,1.00,14.85,14.79,0.13,0.07,14.72,-96.89,-87.51,1.62
11.00,14.00,41.00,44.76,1.00,22.04,21.96,0.13,0.05,21.91,-93.28,-91.36,-0.92
11.00,8.00,42.00,45.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
11.00,9.00,42.00,45.74,1.00,13.84,13.79,0.75,0.70,13.09,-95.39,-90.03,0.37
11.00,10.00,42.00,45.74,1.00,7.71,7.68,0.31,0.28,7.40,-88.28,-80.52,0.19
11.00,12.00,42.00,45.75,1.00,7.43,7.40,0.12,0.09,7.31,-85.81,-81.49,1.68
11.00,13.00,42.00,45.75,1.00,14.79,14.73,0.07,0.01,14.72,-97.76,-87.44,1.51
11.00,14.00,42.00,45.75,1.00,22.04,21.96,0.13,0.05,21.91,-93.49,-91.31,-0.79
11.00,8.00,43.00,46.73,1.00,21.15,21.08,0.06,0.01,21.09,-100.53,-94.88,2.09
11.00,9.00,43.00,46.74,1.00,13.80,13.75,0.71,0.66,13.09,-97.11,-90.90,0.35
11.00,10.00,43.00,46.74,1.00,7.71,7.68,0.31,0.28,7.40,-88.33,-80.64,0.11
11.00,12.00,43.00,46.75,1.00,7.42,7.39,0.11,0.08,7.31,-85.27,-81.36,1.47
11.00,13.00,43.00,46.75,1.00,14.81,14.75,0.09,0.03,14.72,-97.48,-87.44,1.39
11.00,14.00,43.00,46.75,1.00,22.06,21.98,0.15,0.07,21.91,-93.48,-91.44,-0.76
11.00,8.00,44.00,47.73,0.00,nan,nan,nan,nan,21.09,nan,nan,nan
